timestamp,ping_time,ping_sequence,dropped_packets,rtt_ms,system_id,component_id
4447272,4381900,1,3735928559,65.372,255,0
5383795,5381808,2,3735928559,1.987,255,0
6385717,6382733,3,3735928559,2.984,255,0
7387045,7382178,4,3735928559,4.867,255,0
8389607,8383917,5,3735928559,5.69,255,0
9391020,9382682,6,3735928559,8.338,255,0
10392990,10381456,7,3735928559,11.534,255,0
11383034,11382602,8,3735928559,0.432,255,0
12382586,12382190,9,3735928559,0.396,255,0
13381911,13381493,10,3735928559,0.418,255,0
14382968,14382527,11,3735928559,0.441,255,0
15385322,15384801,12,3735928559,0.521,255,0
16387124,16382742,13,3735928559,4.382,255,0
17390522,17384965,14,3735928559,5.557,255,0
18381287,18380786,15,3735928559,0.501,255,0
19381746,19381432,16,3735928559,0.314,255,0
20394611,20386385,17,3735928559,8.226,255,0
21383171,21382525,18,3735928559,0.646,255,0
22382220,22381753,19,3735928559,0.467,255,0
23382543,23382291,20,3735928559,0.252,255,0
24384924,24384637,21,3735928559,0.287,255,0
25388602,25381135,22,3735928559,7.467,255,0
26383397,26382985,23,3735928559,0.412,255,0
27385470,27384775,24,3735928559,0.695,255,0
28393855,28382351,25,3735928559,11.504,255,0
29395423,29384955,26,3735928559,10.468,255,0
30382631,30382275,27,3735928559,0.356,255,0
31383897,31382263,28,3735928559,1.634,255,0
32386573,32386138,29,3735928559,0.435,255,0
33384826,33384299,30,3735928559,0.527,255,0
34383041,34382470,31,3735928559,0.571,255,0
35383985,35383535,32,3735928559,0.45,255,0
36381368,36380888,33,3735928559,0.48,255,0
37385482,37384864,34,3735928559,0.618,255,0
38381661,38381104,35,3735928559,0.557,255,0
39395534,39384770,36,3735928559,10.764,255,0
40383379,40383026,37,3735928559,0.353,255,0
41382725,41381955,38,3735928559,0.77,255,0
42381468,42381069,39,3735928559,0.399,255,0
43384314,43383798,40,3735928559,0.516,255,0
44387029,44386377,41,3735928559,0.652,255,0
45381430,45380898,42,3735928559,0.532,255,0
46383854,46383255,43,3735928559,0.599,255,0
47382578,47382166,44,3735928559,0.412,255,0
48384064,48383726,45,3735928559,0.338,255,0
49382407,49381937,46,3735928559,0.47,255,0
50383304,50382929,47,3735928559,0.375,255,0
51385401,51384742,48,3735928559,0.659,255,0
52384050,52383730,49,3735928559,0.32,255,0
53383363,53382954,50,3735928559,0.409,255,0
54384156,54382681,51,3735928559,1.475,255,0
55384806,55382674,52,3735928559,2.132,255,0
56382639,56381909,53,3735928559,0.73,255,0
57383378,57382701,54,3735928559,0.677,255,0
58387097,58385592,55,3735928559,1.505,255,0
59382203,59381796,56,3735928559,0.407,255,0
60383323,60382730,57,3735928559,0.593,255,0
61385037,61384682,58,3735928559,0.355,255,0
62381830,62381293,59,3735928559,0.537,255,0
63383335,63382669,60,3735928559,0.666,255,0
64382293,64381780,61,3735928559,0.513,255,0
65384860,65384310,62,3735928559,0.55,255,0
66383975,66383710,63,3735928559,0.265,255,0
67382549,67382188,64,3735928559,0.361,255,0
68384075,68383724,65,3735928559,0.351,255,0
69383819,69383297,66,3735928559,0.522,255,0
70384161,70383836,67,3735928559,0.325,255,0
71381480,71380981,68,3735928559,0.499,255,0
72383758,72383075,69,3735928559,0.683,255,0
73386577,73384778,70,3735928559,1.799,255,0
74381881,74381387,71,3735928559,0.494,255,0
75383538,75383157,72,3735928559,0.381,255,0
76383049,76382590,73,3735928559,0.459,255,0
77383731,77383272,74,3735928559,0.459,255,0
78384652,78383525,75,3735928559,1.127,255,0
79385849,79385367,76,3735928559,0.482,255,0
80384171,80383821,77,3735928559,0.35,255,0
81383106,81382651,78,3735928559,0.455,255,0
82382973,82382632,79,3735928559,0.341,255,0
83381794,83381435,80,3735928559,0.359,255,0
84381133,84380849,81,3735928559,0.284,255,0
85383177,85382667,82,3735928559,0.51,255,0
86385343,86384644,83,3735928559,0.699,255,0
87384647,87381870,84,3735928559,2.777,255,0
88383941,88383243,85,3735928559,0.698,255,0
89382589,89382157,86,3735928559,0.432,255,0
90384245,90383544,87,3735928559,0.701,255,0
91383208,91382601,88,3735928559,0.607,255,0
92383907,92383310,89,3735928559,0.597,255,0
93381459,93381038,90,3735928559,0.421,255,0
94383515,94383137,91,3735928559,0.378,255,0
95385912,95385486,92,3735928559,0.426,255,0
96383965,96381632,93,3735928559,2.333,255,0
97384250,97383729,94,3735928559,0.521,255,0
98382265,98381882,95,3735928559,0.383,255,0
99382596,99382260,96,3735928559,0.336,255,0
100384794,100384205,97,3735928559,0.589,255,0
101383062,101382399,98,3735928559,0.663,255,0
102382992,102382613,99,3735928559,0.379,255,0
103385397,103384765,100,3735928559,0.632,255,0
104381584,104381078,101,3735928559,0.506,255,0
105382209,105381689,102,3735928559,0.52,255,0
106384859,106384545,103,3735928559,0.314,255,0
107384996,107384663,104,3735928559,0.333,255,0
108382155,108381656,105,3735928559,0.499,255,0
109383497,109382745,106,3735928559,0.752,255,0
110383317,110382957,107,3735928559,0.36,255,0
111382939,111381918,108,3735928559,1.021,255,0
112382112,112381580,109,3735928559,0.532,255,0
113384294,113383330,110,3735928559,0.964,255,0
114382160,114381381,111,3735928559,0.779,255,0
115381400,115380934,112,3735928559,0.466,255,0
116381484,116380916,113,3735928559,0.568,255,0
117383433,117381687,114,3735928559,1.746,255,0
118381460,118380840,115,3735928559,0.62,255,0
119382288,119381702,116,3735928559,0.586,255,0
120382538,120382133,117,3735928559,0.405,255,0
121385436,121384712,118,3735928559,0.724,255,0
122383411,122383111,119,3735928559,0.3,255,0
123385361,123384824,120,3735928559,0.537,255,0
124381412,124380819,121,3735928559,0.593,255,0
125383090,125381935,122,3735928559,1.155,255,0
126383250,126382690,123,3735928559,0.56,255,0
127384204,127383464,124,3735928559,0.74,255,0
128382942,128382459,125,3735928559,0.483,255,0
129381423,129381012,126,3735928559,0.411,255,0
130381910,130381632,127,3735928559,0.278,255,0
131382558,131382224,128,3735928559,0.334,255,0
132382448,132381778,129,3735928559,0.67,255,0
133383884,133383394,130,3735928559,0.49,255,0
134385304,134384862,131,3735928559,0.442,255,0
135389903,135384739,132,3735928559,5.164,255,0
136393868,136381045,133,3735928559,12.823,255,0
137384298,137383902,134,3735928559,0.396,255,0
138382730,138382159,135,3735928559,0.571,255,0
139381312,139380890,136,3735928559,0.422,255,0
140384215,140383829,137,3735928559,0.386,255,0
141383117,141382178,138,3735928559,0.939,255,0
142386705,142380801,139,3735928559,5.904,255,0
143387848,143383744,140,3735928559,4.104,255,0
144390442,144386308,141,3735928559,4.134,255,0
145385052,145382590,142,3735928559,2.462,255,0
146394378,146383888,143,3735928559,10.49,255,0
147382202,147381795,144,3735928559,0.407,255,0
148382938,148382526,145,3735928559,0.412,255,0
149383475,149381846,146,3735928559,1.629,255,0
150383765,150382375,147,3735928559,1.39,255,0
151385727,151383104,148,3735928559,2.623,255,0
152387272,152383368,149,3735928559,3.904,255,0
153390264,153383197,150,3735928559,7.067,255,0
154393099,154380846,151,3735928559,12.253,255,0
155383794,155383306,152,3735928559,0.488,255,0
156383694,156383207,153,3735928559,0.487,255,0
157385446,157384829,154,3735928559,0.617,255,0
158398729,158384144,155,3735928559,14.585,255,0
159385804,159381526,156,3735928559,4.278,255,0
160385115,160384060,157,3735928559,1.055,255,0
161387884,161383245,158,3735928559,4.639,255,0
162382211,162381706,159,3735928559,0.505,255,0
163384165,163383822,160,3735928559,0.343,255,0
164382130,164381705,161,3735928559,0.425,255,0
165383009,165382671,162,3735928559,0.338,255,0
166384335,166383871,163,3735928559,0.464,255,0
167383881,167383325,164,3735928559,0.556,255,0
168383792,168382300,165,3735928559,1.492,255,0
169386311,169383807,166,3735928559,2.504,255,0
170389490,170381373,167,3735928559,8.117,255,0
171384815,171384326,168,3735928559,0.489,255,0
172384062,172381674,169,3735928559,2.388,255,0
173382988,173382675,170,3735928559,0.313,255,0
174382441,174381793,171,3735928559,0.648,255,0
175381400,175380959,172,3735928559,0.441,255,0
176382655,176382332,173,3735928559,0.323,255,0
177384737,177381893,174,3735928559,2.844,255,0
178385594,178383529,175,3735928559,2.065,255,0
179403795,179382395,176,3735928559,21.4,255,0
