timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s,mag_inconsistency_ga
2930485,0.152308,0.00737186,0.0437198
3132027,0.169769,0.00694324,0.0440332
3337039,0.157401,0.00665358,0.0489626
3537548,0.169185,0.00626197,0.0540649
3737524,0.180471,0.00645401,0.0567122
3941093,0.133945,0.00772977,0.0466433
4145489,0.172664,0.00738502,0.0562686
4345890,0.149045,0.00744571,0.047952
4547167,0.136917,0.00642461,0.0587925
4748751,0.153919,0.00726768,0.052932
4947937,0.139832,0.00831816,0.0531577
5151554,0.16931,0.00686958,0.0503111
5356612,0.136764,0.0077331,0.0546464
5559516,0.181006,0.00795932,0.0510042
5759514,0.17577,0.00857371,0.0526538
5964720,0.141555,0.00782664,0.0534697
6165912,0.142784,0.00884459,0.0543986
6365504,0.143125,0.00978039,0.0522047
6569093,0.151349,0.00928473,0.0402238
6773776,0.176594,0.00797634,0.0492895
6976997,0.165702,0.00851538,0.0487552
7177102,0.158927,0.00771671,0.0527776
7377054,0.136313,0.00929567,0.047446
7581517,0.170325,0.00850645,0.0471822
7783151,0.188045,0.00725976,0.0546182
7983936,0.151437,0.00925559,0.0531784
8186654,0.137737,0.00765044,0.0489893
8391880,0.171245,0.00823252,0.0487596
8593613,0.141185,0.00820822,0.0468694
8796547,0.169474,0.00893092,0.0441267
8998230,0.169408,0.00830507,0.045113
9202432,0.14929,0.0133567,0.0476197
9403079,0.204659,0.00963144,0.0581909
9606216,0.174838,0.0088216,0.0537702
9806155,0.151103,0.00778454,0.0579554
10010556,0.163527,0.00719352,0.0493275
10214198,0.147823,0.00696247,0.0471155
10416606,0.153433,0.0085035,0.0529707
10621702,0.136918,0.00829981,0.0537828
10821336,0.15548,0.00917653,0.0548558
11020898,0.171277,0.00982235,0.053369
11224616,0.171993,0.00747867,0.0518257
11428853,0.150638,0.00948113,0.0509901
11630487,0.160607,0.00833781,0.0567479
11832035,0.148317,0.00866462,0.0532712
12032176,0.149629,0.00920862,0.0527796
12232048,0.21758,0.0100271,0.0532327
12435757,0.171601,0.00922793,0.0519965
12638263,0.189077,0.00900543,0.0491204
12842477,0.186233,0.00897636,0.0553565
13043210,0.14581,0.0100024,0.0560207
13245054,0.154762,0.00782296,0.0522939
13448625,0.189839,0.00753613,0.0509226
13648597,0.18162,0.007713,0.0479075
13849446,0.165409,0.00794692,0.0516745
14053834,0.16922,0.00791568,0.0516993
14253876,0.1645,0.00845162,0.054371
14457363,0.195892,0.00713087,0.0539842
14657319,0.164189,0.00966355,0.0488617
14862261,0.140323,0.00811351,0.0500275
15065377,0.1625,0.00975551,0.0475102
15267110,0.150427,0.00945732,0.0399691
15472625,0.138973,0.00906686,0.0500021
15672700,0.157055,0.00699444,0.0482577
15874390,0.152521,0.00942596,0.0520453
16075033,0.183938,0.00936347,0.0501076
16274945,0.182655,0.0089773,0.0479277
16478232,0.181156,0.00904956,0.0520648
16682733,0.163023,0.0063263,0.0547903
16886310,0.171339,0.00814226,0.0506268
17086124,0.181812,0.00755623,0.0229465
17293030,0.162718,0.00896382,0.052837
17493478,0.14732,0.00921535,0.0560629
17697470,0.196858,0.00844773,0.05265
17899852,0.153948,0.00926062,0.0516594
18100666,0.161568,0.0087605,0.0556484
18303025,0.183361,0.00917805,0.0546711
18507800,0.185098,0.0098461,0.0572571
18707232,0.169744,0.00886159,0.0588751
18910960,0.149107,0.0101832,0.060557
19115481,0.182323,0.00733357,0.0577878
19316018,0.153263,0.00896495,0.0561198
19516042,0.154889,0.00725626,0.0649898
19719844,0.173457,0.00848057,0.0542575
19922199,0.182481,0.00881828,0.051754
20126982,0.177865,0.00918939,0.0496271
20328848,0.155823,0.00996496,0.0583351
20532543,0.143423,0.00857301,0.0557354
20732642,0.19661,0.00796859,0.0529573
20932653,0.196513,0.0089696,0.0550701
21137018,0.1433,0.00751171,0.0513837
21338165,0.165841,0.00953424,0.0559786
21541348,0.145034,0.00888098,0.0504392
21743002,0.163598,0.0115683,0.0521259
21947353,0.187823,0.00867932,0.0510944
22147304,0.139329,0.00902497,0.046577
22351834,0.180041,0.00910717,0.0457926
22556842,0.171518,0.00939898,0.0442043
22756295,0.168945,0.0103754,0.0506865
22959870,0.172717,0.00816319,0.0556783
23164019,0.168101,0.00986968,0.0518255
23365627,0.149456,0.00933894,0.0602437
23569458,0.169303,0.00765785,0.0514905
23774709,0.153819,0.00726402,0.0542296
23974980,0.163355,0.0101719,0.0487976
24178163,0.157837,0.0100817,0.0555286
24383382,0.159142,0.0095047,0.0599657
24586182,0.18838,0.00959887,0.052481
