timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
2913447,282.887,39.05,97973.0,1.16408
2935435,282.63,39.06,97976.0,1.16412
2946567,282.718,39.06,97975.0,1.16411
2957456,282.374,39.06,97979.0,1.16415
2979474,282.802,39.06,97974.0,1.16409
2990542,282.63,39.06,97976.0,1.16412
3001439,282.802,39.06,97974.0,1.16409
3023446,282.802,39.07,97974.0,1.16409
3034435,282.887,39.07,97973.0,1.16408
3045447,282.459,39.07,97978.0,1.16414
3067437,282.374,39.08,97979.0,1.16415
3078439,282.718,39.08,97975.0,1.16411
3089448,283.058,39.08,97971.0,1.16406
3110447,282.802,39.08,97974.0,1.16409
3121447,282.887,39.08,97973.0,1.16408
3132583,282.718,39.08,97975.0,1.16411
3154448,282.546,39.09,97977.0,1.16413
3165448,282.459,39.09,97978.0,1.16414
3176566,282.459,39.09,97978.0,1.16414
3198534,282.546,39.1,97977.0,1.16413
3209447,282.374,39.1,97979.0,1.16415
3220610,282.459,39.1,97978.0,1.16414
3242447,282.29,39.11,97980.0,1.16416
3253448,282.887,39.11,97973.0,1.16408
3263446,282.802,39.11,97974.0,1.16409
3285439,282.033,39.11,97983.0,1.1642
3297054,282.374,39.11,97979.0,1.16415
3307469,282.63,39.11,97976.0,1.16412
3329437,282.459,39.12,97978.0,1.16414
3341070,282.546,39.12,97977.0,1.16413
3351435,283.058,39.12,97971.0,1.16406
3373486,282.887,39.12,97973.0,1.16408
3383446,282.887,39.12,97973.0,1.16408
3394446,282.546,39.12,97977.0,1.16413
3417121,282.459,39.13,97978.0,1.16414
3427463,282.459,39.13,97978.0,1.16414
3438435,282.63,39.13,97976.0,1.16412
3461130,282.202,39.14,97981.0,1.16418
3471712,282.459,39.14,97978.0,1.16414
3482206,282.459,39.14,97978.0,1.16414
3503435,282.459,39.14,97978.0,1.16414
3514131,282.718,39.14,97975.0,1.16411
3525147,282.718,39.14,97975.0,1.16411
3545751,282.63,39.14,97976.0,1.16412
3557134,282.63,39.14,97976.0,1.16412
3567436,282.374,39.14,97979.0,1.16415
3589142,282.374,39.15,97979.0,1.16415
3599444,282.718,39.15,97975.0,1.16411
3609792,282.374,39.15,97979.0,1.16415
3631435,282.459,39.16,97978.0,1.16414
3641951,282.118,39.16,97982.0,1.16419
3652996,282.459,39.16,97978.0,1.16414
3673492,282.202,39.16,97981.0,1.16418
3685098,282.374,39.16,97979.0,1.16415
3695447,282.546,39.16,97977.0,1.16413
3717062,282.374,39.17,97979.0,1.16415
3727463,281.946,39.17,97984.0,1.16421
3737563,282.63,39.17,97976.0,1.16412
3759448,282.63,39.17,97976.0,1.16412
