timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
8917907,-0.0010747,0.0123623,0.00109015,0.690887,0.71248,0.0785885,0.0941842,1.0,0.0,0.0,0.0,0
8921663,0.00262725,0.0104696,0.000302314,0.690886,0.712485,0.078575,0.0941712,1.0,0.0,0.0,0.0,0
8953764,0.000988772,0.00932407,-0.00161184,0.690895,0.712501,0.0784808,0.0940619,1.0,0.0,0.0,0.0,0
8985747,-0.00075504,0.0092419,0.00152438,0.690914,0.712511,0.0783585,0.0939489,1.0,0.0,0.0,0.0,0
9017854,-0.00124047,0.00994437,-0.000452199,0.690939,0.712517,0.0782309,0.0938183,1.0,0.0,0.0,0.0,0
9049868,-0.000555373,0.0118188,-0.00141502,0.690961,0.712526,0.0781039,0.0937012,1.0,0.0,0.0,0.0,0
9081743,0.00236098,0.0108668,-0.00166266,0.690972,0.712539,0.0779999,0.0936034,1.0,0.0,0.0,0.0,0
9113684,9.57418e-05,0.010872,-0.00105378,0.690987,0.712547,0.0779211,0.0935016,1.0,0.0,0.0,0.0,0
9145777,-0.000297507,0.00856122,0.00247334,0.690999,0.71256,0.0778137,0.093401,1.0,0.0,0.0,0.0,0
9177742,0.000526961,0.011006,-0.000526519,0.691014,0.71257,0.0777103,0.0932987,1.0,0.0,0.0,0.0,0
9209835,-0.00114015,0.00944903,0.000619317,0.691033,0.712575,0.0776261,0.0931979,1.0,0.0,0.0,0.0,0
9241727,0.00149565,0.0112261,4.04194e-06,0.691035,0.712593,0.0775348,0.0931102,1.0,0.0,0.0,0.0,0
9269898,3.06852e-05,0.00827047,0.000779748,0.691042,0.712609,0.0774408,0.093019,1.0,0.0,0.0,0.0,0
9301825,-0.00135773,0.00764939,0.00110484,0.691054,0.712622,0.0773267,0.0929175,1.0,0.0,0.0,0.0,0
9333829,0.000611247,0.0104585,-0.000848847,0.691072,0.712628,0.077236,0.0928195,1.0,0.0,0.0,0.0,0
9365741,0.000166532,0.00969003,-0.000551838,0.69109,0.712634,0.0771364,0.0927284,1.0,0.0,0.0,0.0,0
9397872,-0.000442345,0.00758669,1.60155e-05,0.691102,0.712642,0.0770604,0.0926343,1.0,0.0,0.0,0.0,0
9429853,0.000402909,0.0104795,-0.00041306,0.691111,0.712651,0.0769902,0.0925609,1.0,0.0,0.0,0.0,0
9461812,0.0015875,0.00824403,0.000437889,0.691124,0.712656,0.0769245,0.0924756,1.0,0.0,0.0,0.0,0
9493772,-0.000257047,0.0072937,-0.000950099,0.691132,0.712665,0.0768576,0.0924062,1.0,0.0,0.0,0.0,0
9521695,-0.000999237,0.011535,-0.000548941,0.691136,0.712672,0.0768158,0.0923527,1.0,0.0,0.0,0.0,0
9553702,0.00239081,0.0088114,-0.00127647,0.691133,0.71268,0.0767917,0.0923282,1.0,0.0,0.0,0.0,0
9585739,6.73868e-05,0.0051085,-0.000309212,0.691142,0.712676,0.0767817,0.0923108,1.0,0.0,0.0,0.0,0
9617756,0.000228188,0.00870601,0.00132082,0.691142,0.712679,0.0767739,0.0922933,1.0,0.0,0.0,0.0,0
9649872,0.000837208,0.00806122,0.000445675,0.691145,0.712677,0.0767758,0.0922814,1.0,0.0,0.0,0.0,0
9681701,0.00171012,0.0118627,-0.00262243,0.691149,0.712674,0.0767921,0.0922668,1.0,0.0,0.0,0.0,0
9713749,0.002073,0.00941105,-0.00104335,0.691139,0.712675,0.0768258,0.0922947,1.0,0.0,0.0,0.0,0
9745827,0.00187426,0.0075743,-5.87846e-05,0.691139,0.712665,0.0768708,0.0923346,1.0,0.0,0.0,0.0,0
9777730,-0.00238528,0.00637315,0.000198524,0.691135,0.712656,0.0769429,0.0923778,1.0,0.0,0.0,0.0,0
9809793,0.000800501,0.00866588,-0.000417831,0.691133,0.712645,0.0769948,0.0924341,1.0,0.0,0.0,0.0,0
9841691,-0.0018967,0.00957988,-0.00224873,0.691113,0.712649,0.0770776,0.0924884,1.0,0.0,0.0,0.0,0
9873738,0.00185181,0.0100853,-0.00133227,0.691108,0.712637,0.0771435,0.092563,1.0,0.0,0.0,0.0,0
9905645,0.000831904,0.00948626,0.000928177,0.691105,0.712627,0.0772065,0.0926104,1.0,0.0,0.0,0.0,0
9937726,0.0019098,0.00779269,-0.00121144,0.691109,0.712616,0.0772455,0.092629,1.0,0.0,0.0,0.0,0
9969786,-0.00160209,0.00923183,-0.00184372,0.691112,0.712608,0.077269,0.0926461,1.0,0.0,0.0,0.0,0
10001712,0.000708642,0.00861556,-0.000689213,0.691111,0.712606,0.0772945,0.0926489,1.0,0.0,0.0,0.0,0
10033763,-0.000580463,0.00852859,-0.000276202,0.691114,0.712604,0.0772981,0.0926411,1.0,0.0,0.0,0.0,0
10065725,0.0016553,0.00765813,0.00135166,0.691118,0.712604,0.077283,0.0926211,1.0,0.0,0.0,0.0,0
10097742,0.0021335,0.00822869,-0.000853282,0.691114,0.712615,0.0772626,0.0925844,1.0,0.0,0.0,0.0,0
10129836,0.00185214,0.00704839,0.00131941,0.691111,0.712624,0.0772338,0.0925568,1.0,0.0,0.0,0.0,0
10161720,-0.00115305,0.00831196,0.00080278,0.691116,0.712628,0.0771956,0.0925234,1.0,0.0,0.0,0.0,0
10193790,0.00111686,0.00739373,0.00167223,0.69113,0.712626,0.0771486,0.0924734,1.0,0.0,0.0,0.0,0
10225725,0.00034434,0.00566542,0.0011014,0.691141,0.712629,0.0770943,0.0924162,1.0,0.0,0.0,0.0,0
10258508,0.00083387,0.00831949,0.000848114,0.691155,0.712629,0.0770271,0.0923654,1.0,0.0,0.0,0.0,0
10290616,-0.000475882,0.00895399,-0.00173845,0.691164,0.712632,0.0769811,0.0923184,1.0,0.0,0.0,0.0,0
10323347,0.00184186,0.00758364,0.00220227,0.691177,0.712628,0.0769435,0.0922743,1.0,0.0,0.0,0.0,0
10356079,0.00101376,0.00797101,-0.00094022,0.691205,0.71261,0.0769111,0.0922353,1.0,0.0,0.0,0.0,0
10388141,0.00143016,0.00748513,-0.00182793,0.691216,0.712612,0.0768609,0.0921782,1.0,0.0,0.0,0.0,0
10420184,0.00124954,0.00711912,-0.000776381,0.69123,0.71261,0.0768173,0.0921212,1.0,0.0,0.0,0.0,0
10452160,-0.000711368,0.00602333,0.00178691,0.69124,0.712612,0.0767702,0.0920793,1.0,0.0,0.0,0.0,0
10484072,0.00103792,0.00815128,0.00132541,0.691238,0.712626,0.0767232,0.0920265,1.0,0.0,0.0,0.0,0
10516119,0.000669977,0.0081243,-0.000157528,0.691241,0.712633,0.0766875,0.0919799,1.0,0.0,0.0,0.0,0
10548107,-0.000712747,0.00661864,-0.000833728,0.691248,0.712638,0.0766245,0.0919408,1.0,0.0,0.0,0.0,0
10580172,-0.000502646,0.00683331,-0.0011502,0.691272,0.712625,0.0765706,0.091894,1.0,0.0,0.0,0.0,0
10612096,-0.000294305,0.00715358,-0.00114205,0.691283,0.712625,0.0765399,0.0918431,1.0,0.0,0.0,0.0,0
10644138,0.000653575,0.00450136,0.00215196,0.691297,0.712619,0.0765086,0.0918089,1.0,0.0,0.0,0.0,0
10676111,-0.000406683,0.00754618,-0.000915475,0.691309,0.712611,0.0765004,0.0917905,1.0,0.0,0.0,0.0,0
10708226,0.00164915,0.00726174,0.000629249,0.6913,0.712622,0.0764949,0.0917804,1.0,0.0,0.0,0.0,0
10740197,0.00267456,0.00598766,-0.000518891,0.691293,0.712627,0.0765134,0.0917752,1.0,0.0,0.0,0.0,0
10772071,0.000783854,0.00564873,0.000252258,0.691301,0.712617,0.0765252,0.0917816,1.0,0.0,0.0,0.0,0
10804195,0.00251637,0.00745356,0.000926138,0.691302,0.712615,0.0765262,0.0917922,1.0,0.0,0.0,0.0,0
10836094,-0.000876918,0.00411932,-0.00296055,0.691307,0.712608,0.0765497,0.0917889,1.0,0.0,0.0,0.0,0
10868145,-0.00020199,0.00655399,-0.000438494,0.691311,0.712597,0.0765729,0.0918197,1.0,0.0,0.0,0.0,0
10900276,0.00221721,0.00533092,0.00071612,0.691306,0.712595,0.0766029,0.0918509,1.0,0.0,0.0,0.0,0
