timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
8937877,0,0.0,0.0,0.0,0.0,0.449742,5.76515e-08,-3.1466e-07,0.0,0.00167665,0.00919705,-0.0449368,0.00400065,1.44962e-05,-7.912e-05,0.0,-0.0108635,-0.00757375,-0.0249707,0.244456,0.0,0.115754,0.0449368,0.174975,0.344144,0.27791,0.267639,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
8941685,0,0.0,0.0,0.0,0.0,0.449562,5.76515e-08,-3.1466e-07,0.0,0.00172335,0.00918403,-0.0449965,0.00394089,1.44962e-05,-7.912e-05,0.0,0.011641,-0.00324683,-0.0148952,0.24442,0.0,0.115934,0.0449965,0.174975,0.344144,0.27791,0.267639,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
9045820,0,0.0,0.0,0.0,0.0,0.452235,5.76515e-08,-3.1466e-07,0.0,0.00271041,0.00905856,-0.043154,0.00707945,1.44962e-05,-7.912e-05,0.0,-0.00468411,0.0268021,-0.0223295,0.243296,0.0,0.112792,0.043154,0.172773,0.342013,0.269999,0.262705,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
9145777,0,0.0,0.0,0.0,0.0,0.454104,5.76515e-08,-3.1466e-07,0.0,0.00330776,0.00972485,-0.042355,0.0078785,1.44962e-05,-7.912e-05,0.0,0.00866721,0.0192172,-0.0413499,0.24242,0.0,0.1,0.042355,0.170598,0.339822,0.262384,0.257792,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
9245691,0,0.0,0.0,0.0,0.0,0.450822,5.76515e-08,-3.1466e-07,0.0,0.0034475,0.010007,-0.0442058,0.00156289,1.44962e-05,-7.912e-05,0.0,-0.00315846,0.00615226,-0.0339455,0.241573,0.0,0.104214,0.0442058,0.171564,0.340647,0.258965,0.254911,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
9349834,0,0.0,0.0,0.0,0.0,0.451509,5.76515e-08,-3.1466e-07,0.0,0.00364916,0.00978576,-0.0428708,0.00288694,1.44962e-05,-7.912e-05,0.0,-0.00493428,-0.00233456,0.00180517,0.240641,0.0,0.113582,0.0428708,0.169399,0.33828,0.251917,0.250105,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
9449872,0,0.0,0.0,0.0,0.0,0.454434,5.76515e-08,-3.1466e-07,0.0,0.00408292,0.0100529,-0.0401866,0.00744224,1.44962e-05,-7.912e-05,0.0,0.0137337,-0.01307,-0.00644201,0.239915,0.0,0.104308,0.0401866,0.16731,0.335909,0.245194,0.245372,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
9549822,0,0.0,0.0,0.0,0.0,0.454705,5.76515e-08,-3.1466e-07,0.0,0.00405736,0.0111849,-0.0395989,0.0072537,1.44962e-05,-7.912e-05,0.0,0.00253635,0.0238265,-0.00798615,0.239444,0.0,0.108702,0.0395989,0.16843,0.336683,0.242481,0.242611,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
9653767,0,0.0,0.0,0.0,0.0,0.454194,5.76515e-08,-3.1466e-07,0.0,0.00358852,0.0120447,-0.0395615,0.00545062,1.44962e-05,-7.912e-05,0.0,-0.0241149,0.0271193,-0.0182132,0.23934,0.0,0.1,0.0395615,0.16636,0.334261,0.236169,0.237976,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
9753744,0,0.0,0.0,0.0,0.0,0.45633,5.76515e-08,-3.1466e-07,0.0,0.00306543,0.0136279,-0.0375167,0.00848331,1.44962e-05,-7.912e-05,0.0,-0.00299045,0.0143109,-0.0108638,0.239596,0.0,0.116362,0.0375167,0.168411,0.336213,0.234149,0.235577,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
