timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
2927661,0.349328,0.429964,0.054848
2936453,0.349328,0.429964,0.054848
2956453,0.349328,0.429964,0.054848
2976463,0.349328,0.429964,0.054848
2995652,0.345592,0.429964,0.0549225
3005284,0.351346,0.417498,0.0623098
3015652,0.356849,0.409022,0.0570498
3025284,0.35844,0.421747,0.0431194
3035653,0.356982,0.415699,0.0637261
3045297,0.351288,0.424566,0.0593948
3055653,0.351224,0.424696,0.0561977
3065309,0.347598,0.403624,0.06182
3075652,0.34945,0.422766,0.0609601
3086076,0.343878,0.424436,0.0627408
3095688,0.341786,0.423156,0.0515177
3106889,0.349384,0.419428,0.0576219
3115666,0.334495,0.41236,0.0608347
3126903,0.340078,0.424566,0.0596182
3135653,0.344136,0.427384,0.0756702
3145284,0.336663,0.427384,0.0758192
3155676,0.351355,0.427904,0.062733
3166853,0.334518,0.44011,0.0619632
3175676,0.34007,0.41416,0.059195
3186853,0.341908,0.415959,0.0576298
3195689,0.340272,0.427644,0.0693505
3205284,0.340275,0.431113,0.0694916
3215676,0.342116,0.436381,0.0680674
3226852,0.353187,0.422766,0.0608856
3236476,0.341838,0.409152,0.0541506
3246865,0.353187,0.422766,0.0608856
3255676,0.355147,0.417368,0.0654324
3266863,0.345777,0.422636,0.0642316
3275684,0.336397,0.41403,0.0624666
3286852,0.355088,0.424436,0.0625174
3295700,0.34382,0.431503,0.0598259
3306852,0.336466,0.420837,0.0659458
3315723,0.340142,0.424436,0.0628153
3325292,0.358825,0.424436,0.062443
3335691,0.330825,0.415699,0.0642473
3346884,0.343748,0.421227,0.0562056
3355703,0.332735,0.427774,0.0663024
3366883,0.345725,0.436641,0.0615988
3375687,0.344133,0.423915,0.0755292
3395677,0.344133,0.423915,0.0755292
3415678,0.344133,0.423915,0.0755292
3434926,0.330692,0.409022,0.057571
3444476,0.349312,0.409152,0.0540016
3454883,0.349511,0.419168,0.0640161
3464477,0.340142,0.424436,0.0628153
3474883,0.345777,0.422636,0.0642316
3484476,0.336336,0.417628,0.0594105
3494876,0.34224,0.432652,0.0743205
3504481,0.336463,0.417368,0.0658047
3514876,0.345714,0.422766,0.0610345
3524501,0.343867,0.410561,0.0621766
3534876,0.338559,0.422116,0.0771689
3544521,0.349636,0.415439,0.0702692
3554876,0.345916,0.436251,0.07119
3564489,0.351285,0.421097,0.0592537
3574876,0.358889,0.424306,0.0656401
3584503,0.353057,0.419558,0.0543504
3594876,0.343951,0.434711,0.0663611
3604452,0.348965,0.445962,-0.338543
3605294,0.35712,0.429313,0.0706845
3614876,0.358689,0.41429,0.0556256
3624476,0.356921,0.419298,0.0606701
3634876,0.343939,0.420837,0.0657969
3644453,0.336394,0.410561,0.0623255
3654882,0.33875,0.421726,0.0867602
3664452,0.363299,0.397251,0.474519
3665309,0.355144,0.4139,0.0652913
3674882,0.33842,0.408502,0.0702105
3684453,0.332871,0.43792,0.0731197
3694882,0.345708,0.415829,0.0607524
3704453,0.351323,0.427969,0.0611344
3705283,0.351227,0.428164,0.0563388
3714883,0.336527,0.417238,0.0690018
3724452,0.338397,0.418973,0.0690351
3725283,0.338492,0.418777,0.0738307
3734876,0.353311,0.419038,0.0671387
3744452,0.332756,0.413835,0.0673367
3745283,0.332469,0.41442,0.0529498
3754876,0.330831,0.422636,0.0645295
3764453,0.347641,0.417433,0.0639828
3765297,0.347801,0.417108,0.0719755
