timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,is_rotary_wing,is_vtol,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,high_latency_data_link_active,data_link_lost_counter,engine_failure,mission_failure
3261636,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
4267883,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
4465044,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
5468945,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
6473728,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
7495269,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
8212752,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
9222537,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
10230522,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
11241546,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
12252680,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
13262538,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
14265673,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
15275251,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
16286477,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
17296681,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
18297691,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
19299430,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
